track_id,track_name,track_number,track_popularity,track_duration_min,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type
7g6bcYfxETVC37hzhErGvv,Third Date,8,0,6.80955,False,John Powell,64.0,301316.0,soundtrack,1IamQGaFLZXFR2pp8zw8Zo,How to Train Your Dragon: The Hidden World (Original Motion Picture Soundtrack),2019-02-01,18,album
6habFhsOp2NvshLv26DqMb,Despacito,9,80,3.8226666666666667,False,Luis Fonsi,73.0,10981084.0,latin,5C0YLr4OoRGFDaqdMQmkeH,VIDA,2019-02-01,15,album
3H4bCkngAaTh279khVoV5p,Once There Were Dragons,16,0,5.751033333333333,False,John Powell,63.0,301146.0,soundtrack,1IamQGaFLZXFR2pp8zw8Zo,How to Train Your Dragon: The Hidden World (Original Motion Picture Soundtrack),2019-02-01,18,album
0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa,7,73,2.8966666666666665,False,Luis Fonsi,73.0,10981084.0,latin,5C0YLr4OoRGFDaqdMQmkeH,VIDA,2019-02-01,15,album
3TETmhGNWOcquUTtcr6RIR,The House of the Rising Sun,1,57,4.498433333333334,False,The Animals,65.0,2646110.0,classic rock,2GkmC6hsvA8854l5kLsTOg,The House of the Rising Sun: Best of The Animals,2019-02-01,35,compilation
0e8aaWrJHYYKZilbqmqNxs,DEVILISH,4,59,2.8731,True,Chase Atlantic,79.0,10465301.0,N/A,4KJwyWKB1FRpJxZWgkfbz5,DON'T TRY THIS,2019-01-25,6,single
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),6,73,2.8884333333333334,False,Julia Michaels,69.0,5292781.0,N/A,1xJ7jIK1tT0aVoJw1fPE6r,Inner Monologue Part 1,2019-01-24,6,single
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,1,76,3.5598833333333335,True,J. Cole,82.0,27069939.0,rap,3XzSOIE6zGLliuqsVGLmUc,MIDDLE CHILD,2019-01-23,1,single
6rW6FUhOATT7dBnup6UVHx,blue,1,32,2.0896666666666666,False,Pools,14.0,1502.0,N/A,6ydahDQDBR6C2isdOZxf4f,blue,2019-01-21,1,single
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,1,71,2.974666666666667,False,Mabel,62.0,2041565.0,N/A,0syM7OUAhV7S6XmOa4nLUZ,Ivy To Roses (Mixtape),2019-01-18,15,album
0EyWYj1NsLsaFPpuJkcdIe,Help with the Russians,18,19,1.34955,False,Tyler Bates,50.0,88407.0,soundtrack,4xdjnwp7G9KgHjqeAXF9av,The Punisher: Season 2 (Original Soundtrack),2019-01-18,21,album
4kLKUg9loAHamNWmSywA4H,Fine Line,3,53,3.5244333333333335,True,Mabel,61.0,2041575.0,N/A,0syM7OUAhV7S6XmOa4nLUZ,Ivy To Roses (Mixtape),2019-01-18,15,album
3mPn97K8T07095yVSpYr6d,tonight you belong to me (feat. Paul & Carmella Costabile),5,45,1.434,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
7lztvN7UHRDsMEf8ooKvUS,stay awake,10,43,1.0873166666666667,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
5e0726B3tYcuFnXXQ630Q7,dream a little dream of me,6,43,1.4346666666666668,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
7abUe1ZCGHIMtIAnGKBbSo,remember me (sing-a-long),17,36,0.9802166666666666,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
0AZ6Tdl0UvOWTMngIffzDS,you've got a friend in me,8,43,1.66155,False,Christina Perri,71.0,4308239.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
4cNpO3kF8rqcH8G3huFCJp,you are my sunshine,1,75,1.37,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
4MfUR0Jx3uOdnqodR2JLGF,til there was you (sing-a-long),12,36,2.1264333333333334,False,Christina Perri,71.0,4308713.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
5Ia3op6iA6g4Sv19Lorm4a,dream a little dream of me (sing-a-long),16,34,1.4346666666666668,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
7fmVIBMLYiXRtTFOlxv90i,til there was you,2,49,2.1268833333333332,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
